month_num,avg_bias_factor,avg_pct_error,months,season
1,1.0464363769068652,0.04404332670717579,2,talv
2,1.008476175112733,0.008135720449565707,2,talv
3,0.9421224401468842,-0.0618845937606951,2,kevad
4,0.9511828232025705,-0.0531204830446235,2,kevad
5,0.9518351165120669,-0.05188549407214993,2,kevad
6,0.9707908877878773,-0.030491221601180354,2,suvi
7,1.041517587330067,0.036987755211625166,2,suvi
8,1.021566188462345,0.019877332583242938,2,suvi
9,1.0058255904070552,0.003511208865308498,3,sügis
10,0.9943498995504574,-0.0059479425228843134,2,sügis
11,1.0399756507988052,0.03842924302486275,2,sügis
12,1.03341445299201,0.032318805479058396,2,talv
