month,season,actual,predicted,pred_month_corr,pred_season_corr,abs_error,pct_error,bias_factor
2023-09-01,sügis,268517.3,264997.0520219925,266540.81630614976,268543.6966672406,3520.247978007479,0.013109948513587315,1.0132841024122612
2023-10-01,sügis,708709.9,701337.96442865,697375.3344805504,710724.470871158,7371.935571350041,0.010401908554332373,1.0105112455695389
2023-11-01,sügis,769733.7,737792.6090098,767286.3487095152,747667.013974241,31941.09099019994,0.04149628759946452,1.0432927771302405
2023-12-01,talv,837636.8,807350.3802617625,834327.5515911005,831120.6606229306,30286.419738237513,0.036156983239319845,1.0375133529118026
2024-01-01,talv,909191.5,852940.5422188875,892548.0107165097,878053.1034012779,56250.95778111252,0.06186920773138829,1.0659494478182243
2024-02-01,talv,759744.95,741149.014192275,747431.1230211981,762970.1717559114,18595.93580772495,0.024476550726299597,1.025090684129144
2024-03-01,kevad,719778.5,748562.509394375,705237.5379531035,709921.807442802,-28784.009394375025,-0.03999009333340052,0.9615476208958651
2024-04-01,kevad,677918.8,684431.8550219,651019.8241495034,649101.5693287782,-6513.055021899985,-0.009607426467447111,0.9904839978237255
2024-05-01,kevad,594248.7,603247.876427475,574192.5127450026,572108.2974298408,-8999.17642747506,-0.015143788160537939,0.9850821249785916
2024-06-01,suvi,522988.7,549596.57912875,533543.3509775796,555802.3788697048,-26607.879128750006,-0.05087658515136179,0.951586527028734
2024-07-01,suvi,534757.6,543115.2098321375,565664.0429866309,549247.8248382714,-8357.609832137474,-0.01562878177353155,0.984611718322673
2024-08-01,suvi,548251.9,556417.6296683656,568417.4371335648,562700.4496734182,-8165.729668365559,-0.014894120145074843,0.9853244591239273
2024-09-01,sügis,531693.3,563310.0740602843,566591.6878239275,570849.2547512996,-31616.774060284253,-0.05946430782611752,0.9438732316068953
2024-10-01,sügis,654274.0,668862.8666099125,665083.7242265975,677814.7356445553,-14588.866609912482,-0.022297793600101,0.978188553531376
2024-11-01,sügis,721436.0,695924.4369988375,723744.4692746581,705238.4903407379,25511.56300116249,0.03536219845026099,1.0366585244673698
2024-12-01,talv,777599.2,755452.6866703656,780695.7249568002,777694.9777508876,22146.513329634327,0.028480627718796944,1.0293155530722173
2025-01-01,talv,785605.725,765009.1495765875,800533.4027835263,787532.8052394465,20596.57542341249,0.026217445682963286,1.0269233059955063
2025-02-01,talv,723399.9,729335.4756284625,735517.4508358177,750808.8150321221,-5935.57562846248,-0.008205109827168182,0.9918616660963216
2025-03-01,kevad,679551.975,736484.2239191594,693858.3141684027,698467.0015344584,-56932.24891915941,-0.08377909418798968,0.9226972593979031
2025-04-01,kevad,614608.625,674000.4319158375,641097.6336694582,639208.6149626184,-59391.80691583746,-0.0966335396217999,0.9118816485814155
2025-05-01,kevad,601063.05,654333.5851352,622817.6842449214,620556.9683225714,-53270.5351351999,-0.08862719998376192,0.9185881080455423
2025-06-01,suvi,571476.9,577252.1644308249,560391.1411852742,583770.2387211876,-5775.2644308249,-0.010105858050998912,0.9899952485470205
2025-07-01,suvi,582412.6,530225.9312105125,552239.6326142111,536213.0062242798,52186.66878948745,0.08960429219678188,1.0984234563374609
2025-08-01,suvi,609353.2,576052.7877942874,588476.0507801183,582557.3192579605,33300.41220571252,0.05464878531156072,1.0578079178007629
2025-09-01,sügis,310545.45,292879.144816465,294585.3387529343,296798.95540583687,17666.305183535034,0.0568879859084557,1.0603194372020095
