Ajatempel (UTC);Tarbimine
1758067200;656.9
1758070800;657.7
1758074400;687.7
1758078000;793.1
1758081600;900.4
1758085200;960.5
1758088800;978.7
1758092400;965.7
1758096000;941.3
1758099600;891.6
1758103200;853.2
1758106800;811.8
1758110400;774.5
1758114000;758.2
1758117600;809.5
1758121200;857.5
1758124800;887.1
1758128400;929.7
1758132000;891.7
1758135600;827.7
1758139200;758.6
1758142800;712.1
1758146400;681.7
1758150000;668.8
1758153600;676.0
1758157200;678.7
1758160800;690.0
1758164400;771.4
1758168000;883.8
1758171600;999.8
1758175200;1009.7
1758178800;1023.6
1758182400;1046.4
1758186000;997.3
1758189600;978.8
1758193200;888.6
1758196800;867.5
1758200400;842.7
1758204000;853.5
1758207600;886.2
1758211200;915.6
1758214800;906.7
1758218400;876.0
1758222000;809.1
1758225600;740.1
1758229200;724.3
1758232800;668.0
1758236400;627.0
1758240000;627.4
1758243600;650.4
1758247200;673.9
1758250800;768.0
1758254400;869.5
1758258000;953.8
1758261600;956.4
1758265200;931.7
1758268800;919.1
1758272400;889.1
1758276000;958.9
1758279600;883.3
1758283200;795.2
1758286800;759.1
1758290400;800.1
1758294000;856.2
1758297600;867.2
1758301200;863.3
1758304800;878.3
1758308400;799.3
1758312000;784.1
1758315600;734.7
1758319200;727.5
1758322800;684.7
1758326400;686.1
1758330000;682.6
1758333600;685.8
1758337200;713.4
1758340800;750.3
1758344400;811.7
1758348000;915.2
1758351600;972.4
1758355200;997.2
1758358800;1000.8
1758362400;983.8
1758366000;971.7
1758369600;937.2
1758373200;899.0
1758376800;881.3
1758380400;869.9
1758384000;899.4
1758387600;906.6
1758391200;851.1
1758394800;796.8
1758398400;748.3
1758402000;708.0
1758405600;681.6
1758409200;659.7
1758412800;645.9
1758416400;649.5
1758420000;653.1
1758423600;679.2
1758427200;740.7
1758430800;813.4
1758434400;882.8
1758438000;911.5
1758441600;801.3
1758445200;746.6
1758448800;845.8
1758452400;802.4
1758456000;740.5
1758459600;736.4
1758463200;761.3
1758466800;848.4
1758470400;901.0
1758474000;920.7
1758477600;862.9
1758481200;793.9
1758484800;738.2
1758488400;717.1
1758492000;679.0
1758495600;652.3
1758499200;653.0
1758502800;664.1
1758506400;696.1
1758510000;788.7
1758513600;973.7
1758517200;1057.0
1758520800;1055.4
1758524400;1123.5
1758528000;1103.2
1758531600;1066.3
1758535200;1099.3
1758538800;1068.7
1758542400;971.3
1758546000;817.9
1758549600;844.0
1758553200;893.7
1758556800;928.6
1758560400;928.7
1758564000;890.1
1758567600;838.8
1758571200;763.1
1758574800;712.5
1758578400;706.1
1758582000;671.1
1758585600;661.2
1758589200;660.7
1758592800;706.5
1758596400;802.9
1758600000;975.4
1758603600;1021.0
1758607200;933.5
1758610800;877.9
1758614400;854.7
1758618000;864.3
1758621600;908.5
1758625200;876.6
1758628800;931.1
1758632400;939.3
1758636000;949.7
1758639600;953.0
1758643200;957.0
1758646800;958.2
1758650400;912.4
1758654000;863.2
1758657600;779.1
1758661200;733.3
1758664800;705.3
1758668400;704.7
1758672000;704.5
1758675600;710.9
1758679200;715.5
1758682800;830.3
1758686400;958.5
1758690000;960.8
1758693600;849.8
1758697200;725.2
1758700800;765.6
1758704400;748.5
1758708000;706.7
1758711600;660.0
1758715200;684.8
1758718800;
1758722400;
1758726000;
1758729600;
1758733200;
1758736800;
1758740400;
1758744000;
1758747600;
1758751200;
1758754800;
