Ajatempel (UTC);Planeeritud tarbimine
1758153600;676.775
1758157200;692.0
1758160800;710.425
1758164400;779.725
1758168000;882.225
1758171600;959.575
1758175200;963.675
1758178800;979.575
1758182400;959.9
1758186000;947.025
1758189600;987.95
1758193200;992.825
1758196800;1000.725
1758200400;959.475
1758204000;942.15
1758207600;945.725
1758211200;920.25
1758214800;915.975
1758218400;880.125
1758222000;828.775
1758225600;723.425
1758229200;694.7
1758232800;653.175
1758236400;615.475
1758240000;605.675
1758243600;646.525
1758247200;671.425
1758250800;747.75
1758254400;842.925
1758258000;927.8
1758261600;988.825
1758265200;985.175
1758268800;950.125
1758272400;956.25
1758276000;958.4
1758279600;910.4
1758283200;893.875
1758286800;906.0
1758290400;936.875
1758294000;928.525
1758297600;893.325
1758301200;880.025
1758304800;875.625
1758308400;826.3
1758312000;744.6
1758315600;718.2
1758319200;693.625
1758322800;704.35
1758326400;672.375
1758330000;675.525
1758333600;707.3
1758337200;718.475
1758340800;737.5
1758344400;796.275
1758348000;843.475
1758351600;873.125
1758355200;924.05
1758358800;943.15
1758362400;904.625
1758366000;903.375
1758369600;908.75
1758373200;877.15
1758376800;841.675
1758380400;848.4
1758384000;842.95
1758387600;887.475
1758391200;825.025
1758394800;753.625
1758398400;717.5
1758402000;703.875
1758405600;653.1
1758409200;657.525
1758412800;653.9
1758416400;657.875
1758420000;662.4
1758423600;681.45
1758427200;699.275
1758430800;767.25
1758434400;820.4
1758438000;876.15
1758441600;889.375
1758445200;889.55
1758448800;811.0
1758452400;775.2
1758456000;788.425
1758459600;827.5
1758463200;855.4
1758466800;833.825
1758470400;850.85
1758474000;891.325
1758477600;876.275
1758481200;785.375
1758484800;725.35
1758488400;703.275
1758492000;675.375
1758495600;692.15
1758499200;677.2
1758502800;686.225
1758506400;723.875
1758510000;777.2
1758513600;908.925
1758517200;985.15
1758520800;984.275
1758524400;992.375
1758528000;1022.025
1758531600;1044.85
1758535200;1023.25
1758538800;969.325
1758542400;972.9
1758546000;955.325
1758549600;971.725
1758553200;923.375
1758556800;901.55
1758560400;910.95
1758564000;856.95
1758567600;814.475
1758571200;753.35
1758574800;744.95
1758578400;693.775
1758582000;672.65
1758585600;671.55
1758589200;660.35
1758592800;703.5
1758596400;793.15
1758600000;945.725
1758603600;992.9
1758607200;1029.275
1758610800;980.525
1758614400;980.425
1758618000;979.1
1758621600;957.125
1758625200;946.9
1758628800;946.225
1758632400;930.55
1758636000;940.875
1758639600;939.85
1758643200;921.575
1758646800;919.4
1758650400;915.65
1758654000;836.725
1758657600;771.95
1758661200;727.2
1758664800;680.275
1758668400;669.55
1758672000;665.55
1758675600;673.95
1758679200;694.975
1758682800;796.95
1758686400;871.1
1758690000;935.15
1758693600;982.6
1758697200;928.725
1758700800;884.425
1758704400;870.225
1758708000;866.65
1758711600;897.825
1758715200;890.475
1758718800;908.65
1758722400;858.25
1758726000;876.35
1758729600;879.825
1758733200;888.2
1758736800;888.275
1758740400;844.3
1758744000;777.4
1758747600;697.15
1758751200;663.4
1758754800;654.5
1758758400;658.575
1758762000;674.9
1758765600;690.6
1758769200;747.35
1758772800;855.125
1758776400;933.75
1758780000;964.8
1758783600;988.325
1758787200;883.85
1758790800;870.8
1758794400;918.975
1758798000;974.1
1758801600;926.275
1758805200;890.525
1758808800;901.9
1758812400;915.325
1758816000;917.35
1758819600;926.95
1758823200;896.9
1758826800;807.725
1758830400;734.25
1758834000;696.4
1758837600;
1758841200;
