Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine
1758326400;20.09.2025 03:00;686,1
1758330000;20.09.2025 04:00;682,6
1758333600;20.09.2025 05:00;685,8
1758337200;20.09.2025 06:00;713,4
1758340800;20.09.2025 07:00;750,3
1758344400;20.09.2025 08:00;811,7
1758348000;20.09.2025 09:00;915,2
1758351600;20.09.2025 10:00;972,4
1758355200;20.09.2025 11:00;997,2
1758358800;20.09.2025 12:00;1000,8
1758362400;20.09.2025 13:00;983,8
1758366000;20.09.2025 14:00;971,7
1758369600;20.09.2025 15:00;937,2
1758373200;20.09.2025 16:00;899
1758376800;20.09.2025 17:00;881,3
1758380400;20.09.2025 18:00;869,9
1758384000;20.09.2025 19:00;899,4
1758387600;20.09.2025 20:00;906,6
1758391200;20.09.2025 21:00;851,1
1758394800;20.09.2025 22:00;796,8
1758398400;20.09.2025 23:00;748,3
1758402000;21.09.2025 00:00;708
1758405600;21.09.2025 01:00;681,6
1758409200;21.09.2025 02:00;659,7
1758412800;21.09.2025 03:00;645,9
1758416400;21.09.2025 04:00;649,5
1758420000;21.09.2025 05:00;653,1
1758423600;21.09.2025 06:00;679,2
1758427200;21.09.2025 07:00;740,7
1758430800;21.09.2025 08:00;813,4
1758434400;21.09.2025 09:00;882,8
1758438000;21.09.2025 10:00;911,5
1758441600;21.09.2025 11:00;801,3
1758445200;21.09.2025 12:00;746,6
1758448800;21.09.2025 13:00;845,8
1758452400;21.09.2025 14:00;802,4
1758456000;21.09.2025 15:00;740,5
1758459600;21.09.2025 16:00;736,4
1758463200;21.09.2025 17:00;761,3
1758466800;21.09.2025 18:00;848,4
1758470400;21.09.2025 19:00;901
1758474000;21.09.2025 20:00;920,7
1758477600;21.09.2025 21:00;862,9
1758481200;21.09.2025 22:00;793,9
1758484800;21.09.2025 23:00;738,2
1758488400;22.09.2025 00:00;717,1
1758492000;22.09.2025 01:00;679
1758495600;22.09.2025 02:00;652,3
1758499200;22.09.2025 03:00;653
1758502800;22.09.2025 04:00;664,1
1758506400;22.09.2025 05:00;696,1
1758510000;22.09.2025 06:00;788,7
1758513600;22.09.2025 07:00;973,7
1758517200;22.09.2025 08:00;1057
1758520800;22.09.2025 09:00;1055,4
1758524400;22.09.2025 10:00;1123,5
1758528000;22.09.2025 11:00;1103,2
1758531600;22.09.2025 12:00;1066,3
1758535200;22.09.2025 13:00;1099,3
1758538800;22.09.2025 14:00;1068,7
1758542400;22.09.2025 15:00;971,3
1758546000;22.09.2025 16:00;817,9
1758549600;22.09.2025 17:00;844
1758553200;22.09.2025 18:00;893,7
1758556800;22.09.2025 19:00;928,6
1758560400;22.09.2025 20:00;928,7
1758564000;22.09.2025 21:00;890,1
1758567600;22.09.2025 22:00;838,8
1758571200;22.09.2025 23:00;763,1
1758574800;23.09.2025 00:00;712,5
1758578400;23.09.2025 01:00;706,1
1758582000;23.09.2025 02:00;671,1
1758585600;23.09.2025 03:00;661,2
1758589200;23.09.2025 04:00;660,7
1758592800;23.09.2025 05:00;706,5
1758596400;23.09.2025 06:00;802,9
1758600000;23.09.2025 07:00;975,4
1758603600;23.09.2025 08:00;1021
1758607200;23.09.2025 09:00;933,5
1758610800;23.09.2025 10:00;877,9
