Ajatempel (UTC);Tarbimine;Planeeritud tarbimine
1757980800;662.4;679.35
1757984400;665.4;673.775
1757988000;690.4;712.7
1757991600;799.4;757.05
1757995200;907.6;911.425
1757998800;1019.9;993.525
1758002400;1079.7;1017.15
1758006000;1082.9;1037.25
1758009600;1071.0;1025.6
1758013200;1016.7;1083.35
1758016800;980.1;1098.2
1758020400;965.6;1025.25
1758024000;809.3;981.925
1758027600;788.4;977.025
1758031200;869.3;915.875
1758034800;931.7;939.725
1758038400;943.5;964.375
1758042000;927.4;958.55
1758045600;913.5;925.55
1758049200;848.3;894.175
1758052800;754.5;762.6
1758056400;704.9;709.15
1758060000;695.9;694.05
1758063600;668.2;705.625
1758067200;656.9;683.65
1758070800;657.7;681.325
1758074400;687.7;671.525
1758078000;793.1;819.675
1758081600;900.4;897.65
1758085200;960.5;987.775
1758088800;978.7;957.875
1758092400;965.7;949.75
1758096000;941.3;946.5
1758099600;891.6;917.7
1758103200;853.2;935.3
1758106800;811.8;954.15
1758110400;774.5;953.7
1758114000;758.2;912.05
1758117600;809.5;886.3
1758121200;857.5;898.325
1758124800;887.1;871.45
1758128400;929.7;910.175
1758132000;891.7;907.875
1758135600;827.7;825.7
1758139200;758.6;723.75
1758142800;712.1;706.225
1758146400;681.7;674.0
1758150000;668.8;659.925
1758153600;676.0;676.775
1758157200;678.7;692.0
1758160800;690.0;710.425
1758164400;771.4;779.725
1758168000;883.8;882.225
1758171600;999.8;959.575
1758175200;1009.7;963.675
1758178800;1023.6;979.575
1758182400;1046.4;959.9
1758186000;997.3;947.025
1758189600;978.8;987.95
1758193200;888.6;992.825
1758196800;867.5;1000.725
1758200400;842.7;959.475
1758204000;853.5;942.15
1758207600;886.2;945.725
1758211200;915.6;920.25
1758214800;906.7;915.975
1758218400;876.0;880.125
1758222000;809.1;828.775
1758225600;740.1;723.425
1758229200;724.3;694.7
1758232800;668.0;653.175
1758236400;627.0;615.475
1758240000;627.4;605.675
1758243600;650.4;646.525
1758247200;673.9;671.425
1758250800;768.0;747.75
1758254400;869.5;842.925
1758258000;953.8;927.8
1758261600;956.4;988.825
1758265200;931.7;985.175
1758268800;919.1;950.125
1758272400;889.1;956.25
1758276000;958.9;958.4
1758279600;883.3;910.4
1758283200;795.2;893.875
1758286800;759.1;906.0
1758290400;800.1;936.875
1758294000;856.2;928.525
1758297600;867.2;893.325
1758301200;863.3;880.025
1758304800;878.3;875.625
1758308400;799.3;826.3
1758312000;784.1;744.6
1758315600;734.7;718.2
1758319200;727.5;693.625
1758322800;684.7;704.35
1758326400;686.1;672.375
1758330000;682.6;675.525
1758333600;685.8;707.3
1758337200;713.4;718.475
1758340800;750.3;737.5
1758344400;811.7;796.275
1758348000;915.2;843.475
1758351600;972.4;873.125
1758355200;997.2;924.05
1758358800;1000.8;943.15
1758362400;983.8;904.625
1758366000;971.7;903.375
1758369600;937.2;908.75
1758373200;899.0;877.15
1758376800;881.3;841.675
1758380400;869.9;848.4
1758384000;899.4;842.95
1758387600;906.6;887.475
1758391200;851.1;825.025
1758394800;796.8;753.625
1758398400;748.3;717.5
1758402000;708.0;703.875
1758405600;681.6;653.1
1758409200;659.7;657.525
1758412800;645.9;653.9
1758416400;649.5;657.875
1758420000;653.1;662.4
1758423600;679.2;681.45
1758427200;740.7;699.275
1758430800;813.4;767.25
1758434400;882.8;820.4
1758438000;911.5;876.15
1758441600;801.3;889.375
1758445200;746.6;889.55
1758448800;845.8;811.0
1758452400;802.4;775.2
1758456000;740.5;788.425
1758459600;736.4;827.5
1758463200;761.3;855.4
1758466800;848.4;833.825
1758470400;901.0;850.85
1758474000;920.7;891.325
1758477600;862.9;876.275
1758481200;793.9;785.375
1758484800;738.2;725.35
1758488400;717.1;703.275
1758492000;679.0;675.375
1758495600;652.3;692.15
1758499200;653.0;677.2
1758502800;664.1;686.225
1758506400;696.1;723.875
1758510000;788.7;777.2
1758513600;973.7;908.925
1758517200;1057.0;985.15
1758520800;1055.4;984.275
1758524400;1123.5;992.375
1758528000;1103.2;1022.025
1758531600;1066.3;1044.85
1758535200;1099.3;1023.25
1758538800;1068.7;969.325
1758542400;971.3;972.9
1758546000;817.9;955.325
1758549600;844.0;971.725
1758553200;893.7;923.375
1758556800;928.6;901.55
1758560400;928.7;910.95
1758564000;890.1;856.95
1758567600;838.8;814.475
1758571200;763.1;753.35
1758574800;712.5;744.95
1758578400;706.1;693.775
1758582000;671.1;672.65
1758585600;661.2;671.55
1758589200;660.7;660.35
1758592800;706.5;703.5
1758596400;802.9;793.15
1758600000;975.4;945.725
1758603600;1021.0;992.9
1758607200;933.5;1029.275
1758610800;877.9;980.525
1758614400;854.7;980.425
1758618000;864.3;979.1
1758621600;908.5;957.125
1758625200;;952.25
1758628800;;954.025
1758632400;;920.125
1758636000;;1009.65
1758639600;;981.625
1758643200;;974.95
1758646800;;973.925
1758650400;;906.6
1758654000;;841.875
1758657600;;774.925
1758661200;;860.6
1758664800;;
1758668400;;
